user_id,level,fully_ascended,num_atlas_passives_allocated
8fb9718e-47dc-4e3b-9da0-de34fe8b45e7,94,TRUE,122
aa0766f0-0785-4b89-afd2-9a6e6e2f24e7,2,FALSE,0
57125228-9c40-40cf-b199-5cbbf1b71191,69,FALSE,1
5c45690f-c530-434d-bc74-e8b74ea292f6,100,TRUE,117
79c71021-efa8-4866-b2f3-2d1fa67494a8,96,TRUE,116
48150b53-86e2-4cf7-a7f9-f737557f3ef5,83,FALSE,48
a41825f6-d3c2-4198-8f96-4bbfb9720b87,80,FALSE,35
d30a5cf3-c5ba-4039-800d-3fd47d72dbff,98,TRUE,103
beb530e3-fb89-4b0a-ac4a-ebd0a1980ebf,92,TRUE,79
d37f3b38-11c5-4b4d-8005-eac0e4ca34d0,90,TRUE,90
7af06093-3559-42eb-b004-29aed5b7a6b4,83,FALSE,30
519f7a6a-3447-4dfd-afd1-c5f97c004696,81,FALSE,13
9a14f909-217e-4e76-9024-e4d4f587a300,34,FALSE,0
4e487af5-8811-40ef-b87b-44b4d99a55b7,22,FALSE,0
008820e7-237b-48c3-b271-5f117f1ef617,81,TRUE,45
53e2096d-e86e-444c-a967-555fcb6b1438,67,FALSE,0
6a0debbe-8d60-4764-9689-0d7a434dddbd,97,TRUE,110
b22a406a-1237-482e-84bc-a18e954c4497,95,TRUE,120
83ba3475-9ffc-40df-847b-579a489f6d21,72,FALSE,3
9f630dbf-2ff4-412a-9eef-d16d659372c2,87,TRUE,56
ecfab4f2-719d-480a-a02e-73a54bb100a2,39,FALSE,0
a2d994e2-1ac2-4ff5-ae54-8508adec50e3,13,FALSE,0
01532aa4-ad14-435b-a960-53542e3dde5e,69,FALSE,1
58ceb561-ba01-452e-9318-a95b6d7301ac,99,TRUE,113
fd2835b9-991c-42e2-8b31-857aee3df4fe,87,TRUE,72
2b6c68c4-1783-49c3-852d-93a865161b1f,81,TRUE,27
a65ad593-7de7-4128-840d-128453e76ce2,24,FALSE,0
1ed48d2d-da52-4965-8355-de6046f27fda,81,TRUE,50
b18ca153-912c-4763-8700-123ad4ab8a49,87,TRUE,29
8cb4072b-5a78-40e6-9e39-59cab1d20958,100,TRUE,131
a05935af-df86-4280-ae87-fe109f3262db,95,TRUE,105
37a0cea3-92c2-41e3-a530-2c1ff6450559,76,TRUE,11
b201d9c3-db9c-4574-8b0e-dbfa33e1aa18,27,FALSE,0
d8dd1448-70f4-42e2-b3de-8b29134fee75,71,FALSE,9
706e48ad-f137-4f6e-93d9-aeab820d2541,100,TRUE,126
1a7edd25-ec51-4ae2-b493-b17b48750e9c,79,FALSE,19
722722bc-ebb5-470b-a312-8225aacc3b25,66,FALSE,0
eea5923d-fa5a-4139-b9c4-d6a73d61b06b,24,FALSE,0
d62911c5-edfe-412b-ac88-cc0a3c45ee8f,15,FALSE,0
888b55e0-5697-4d66-8f85-894b0596e042,26,FALSE,0
fbafe8dd-182b-4485-872c-1747c56ce9cf,80,FALSE,22
c70bb107-8b2d-4398-8d9b-148ce3bade42,97,TRUE,128
ab5b0a10-faf8-448c-82ad-75e0ec92ca86,77,TRUE,33
4097bd34-7e72-4423-903f-82b2c9b5907e,77,FALSE,24
c728349a-9b84-4284-93fe-44ae6b0ea122,97,TRUE,118
4a6f014b-1672-4bea-a2c5-a1e933343967,70,FALSE,0
d2ca625d-eb63-4324-9440-e78cab49368c,26,FALSE,0
990f380d-a4e6-4066-a36b-09c2e1773f42,70,FALSE,5
592f76c2-5148-421f-ae96-7e4f66b51559,33,FALSE,0
d1cdbbf4-dd17-4618-846a-5addbcdc0aac,96,TRUE,97
1e42aa98-2758-43f6-8599-97bc9c204e62,76,FALSE,16
75dda401-b7d5-46ba-8d18-c0b83eb784d3,96,TRUE,120
8374cab6-0af1-4920-bf50-78d58920351f,74,FALSE,4
5468cb01-252a-41b4-8642-32d06511c6de,62,FALSE,0
02d98c7c-d06b-4f6f-9c60-58ce1e15a00c,66,FALSE,0
93bc01f4-5f51-42a3-8cf3-1881ce4e79d5,56,FALSE,0
74897ce8-a34a-44b3-8974-b9d4fce41785,21,FALSE,0
57bbc981-1219-4ebd-b074-8f100e762a90,14,FALSE,0
94c800dc-d890-4a0d-aa47-c0cf97f1bf0f,95,TRUE,118
e7df6dd8-fefd-4819-b6ce-225c2d64c3c0,95,TRUE,114
2cb45e89-efc7-4957-a408-309096974a2f,95,TRUE,118
aa5e19b2-ede9-46a1-bc3b-58c8b08c7c64,72,FALSE,12
6dd2d2d3-d1b3-45bd-9517-4a6fc5fad34c,66,FALSE,0
c4476e5d-6043-4f2c-a0ee-394fd52113bf,61,FALSE,0
a9070e7f-4567-43f5-af97-ee10131bd3a3,22,FALSE,0
c1ff84ae-1e34-414d-a2af-85c301760dfc,97,TRUE,127
6358dc15-1071-4898-909d-eec47818c42a,66,FALSE,0
89244d5a-0272-4984-b700-e928172d456a,24,FALSE,0
5b3166a6-b7df-492b-b605-d860cc26edd3,12,FALSE,0
a149f015-a347-46be-bc5e-0702d52d2743,63,FALSE,0
1e968805-c3ed-44de-b365-d55ad1985183,95,TRUE,123
c7de00a3-65f1-4037-bcee-7f8aba15c352,96,TRUE,123
ac13964d-3adf-40e6-8ed0-e5b78943dd0a,63,FALSE,0
66cfaf0c-8826-4116-ac7d-db3e624be913,54,FALSE,0
7cff2466-d127-4657-bb8d-d6f0fe12b9f4,21,FALSE,0
09ad9c89-0331-4826-8142-3dcf5ce477ef,94,TRUE,130
b16f901d-f842-408f-8bcb-4834f614a98e,34,FALSE,0
2525e78a-f74e-48da-a9b9-69b0673d0c9d,96,TRUE,126
fdaa4e8b-f509-4726-baff-184c16bbf9ca,98,TRUE,109
32e8aa83-12bc-4086-b396-5c23bfa21be5,62,FALSE,0
138ca65f-72fd-44dd-a0c2-a050037dde60,12,FALSE,0
484276ef-e379-42a8-958f-a745e110d4be,13,FALSE,0
38c8e359-0e1d-4f99-901f-02312d7bee96,66,FALSE,0
2959579f-f07c-4fcc-81d7-5fc3b4d056bd,16,FALSE,0
2a7af648-5086-47d2-bb42-fe37951ccf05,96,TRUE,129
a1a224b7-1ce5-4862-913f-dd901e9378e2,95,TRUE,117
0b7791cc-3f0c-4bb4-a26a-11935225aaef,95,TRUE,125
f88b70d8-7ba1-4d7c-910c-3c5f8bb315f1,79,FALSE,37
bc540325-9d84-459e-9fd8-9d83a0dae585,95,TRUE,94
d2e57a78-8b11-4c4f-bc46-dea84062ce40,58,FALSE,0
7df465c8-b003-4839-a8bb-aff37d98daa4,95,TRUE,107
c80fae20-ca0b-4779-bf87-b316fbf3f4fb,96,TRUE,98
4d31eb7b-e730-4b20-bb54-8e4f76966b81,15,FALSE,0
f5937ea3-fa3e-4618-830b-414a83b4b548,8,FALSE,0
29c452fb-303b-44cc-b574-2c86695fe627,100,TRUE,125
511f2a9f-9b43-4fa4-8015-613edb67eb00,95,TRUE,0
2fdfbb47-57e4-46ec-b1f2-93c4a0fc00b6,53,FALSE,0
512f4cf3-fbe5-432e-b86d-85e6d6cbdcf0,60,FALSE,0
25dee82e-ab63-4d73-b827-22cec34219bd,38,FALSE,0
8ebd8dd2-b987-4486-af2e-69869ed8b3bd,15,FALSE,0
89304e98-a3ff-444c-b661-bae0b62454b0,90,TRUE,116
d3cbada3-4e24-4b93-8724-3d7b1bdf02a5,92,TRUE,71
6b403b90-a7a2-49e5-94ee-d1ded1d046c0,98,TRUE,127
5adb950a-b6d1-4a38-902c-e6b7a9b683df,94,TRUE,45
431224b1-7cc8-4f32-8c15-6c7cba953b52,91,TRUE,121
d36c5e48-8c72-4c3f-8735-3c50baa5fa4f,73,FALSE,1
6dcd74e4-4efe-43e9-8089-b0805f0ae7da,49,FALSE,0
62db7d0c-a9a3-44f4-a771-c1b7331bcfbc,95,TRUE,99
8ba42b8d-b359-40a7-b0e2-27d8f9ca0885,94,TRUE,126
9e93b9f9-62d1-413a-9244-88c0f854a715,55,FALSE,0
869ebb86-8038-4bc1-ae8e-59485f3f5395,20,FALSE,0
2a30c1dc-fd4e-47d6-b72a-0e689c8372cf,88,TRUE,98
2489268a-39ec-4469-b698-104e9fe4129c,95,TRUE,120
2c6f1b46-41bd-42ee-aef3-1a424315c5d0,94,TRUE,67
98d3e8e0-25e0-4d00-91ab-a2aca4981871,52,FALSE,0
eef76c1f-d11e-42da-8a9a-b46de947ef23,89,TRUE,114
0206951f-dd3c-43a5-bb16-2c1bb756c25c,15,FALSE,0
9691fff9-74e9-4c20-8b72-2dc4ba171716,80,FALSE,0
e07afdc5-2bce-4366-8c8b-e65260c65f3c,97,TRUE,125
5b100e83-f55e-46f0-8db9-37315d3af62c,94,TRUE,87
0d0d2470-56ba-492b-b9ba-a72e0ba0a22a,65,FALSE,0
ce168c85-6eef-45e8-a38e-8db577b03d82,94,TRUE,119
1007b2e9-a36c-42c8-b2ab-2217ca9b4226,12,FALSE,0
90ab1ac8-b128-475f-9a2d-624588bb454f,10,FALSE,0
7be93758-8c2c-4673-8aa5-6a8aa1f905d4,86,TRUE,58
450649a9-909e-4344-ae94-885226bea13c,97,TRUE,121
a50b9af8-f571-4410-bfdf-9486f38d5f05,95,TRUE,124
6757c252-8783-4317-bfb1-9c90ccbc0bf2,93,TRUE,96
71e27dac-dc5d-4d39-b1fe-54563e0fffd4,83,TRUE,29
a44639ec-8b6e-4907-bebd-383615db6454,52,FALSE,0
153ae609-25f6-423e-a0f2-409848f317b3,15,FALSE,0
4eaabc02-a214-49e2-8767-6fa556213de5,95,TRUE,125
395067cb-8b13-4f0f-90f7-3f27e52ed5fd,95,TRUE,75
c99434a9-f5c8-4033-a4f0-3027bc50e821,94,TRUE,117
a0cec08c-5d5c-4797-b9bc-6d9496fd8958,94,TRUE,100
a3cab946-d6dd-408e-a73c-b34d790f2e2c,90,TRUE,100
7e4f5b4a-0ced-4544-ba13-7f65bc962560,43,FALSE,0
1a17e139-d827-4ece-8b15-8e61c6591a6a,83,TRUE,61
3710dd41-cefb-43dd-9478-17f228abaa79,95,TRUE,122
e6fd56b4-21ff-43f4-99a5-ca06010ea712,95,TRUE,113
a37ffee2-1e77-438f-95a5-ccdb9764468f,94,TRUE,82
23a7ce9a-4723-4df7-bb88-4557085485fa,89,TRUE,39
fec63a03-13c6-48e7-9b6a-ce6815826876,97,TRUE,124
90c59519-7b35-497b-ad78-43e7ddf3d1fe,97,TRUE,123
5a1dfc21-17e9-41e6-b217-75a2a06c1559,91,TRUE,87
fb17673b-a0dd-4c58-a949-f1f5887ec030,36,FALSE,0
c06f11d1-dbaf-49b6-983e-d7ea76aebe98,95,TRUE,83
b90529c4-137e-4a13-a299-bbaaf7796377,95,TRUE,88
7cf4d9e4-29fe-40dc-9bd8-6e6bfd5a0ea4,95,TRUE,120
4366e6b2-e6c0-4b5a-8cc6-5bf19291a0bb,95,TRUE,111
a6ec838f-0ef8-4b38-99e0-49466da3a0da,94,TRUE,109
b64d8505-9d64-425d-a04c-5f230d48ae64,94,TRUE,109
ebc28bde-0ead-4567-8217-2b69b2fdee2f,93,TRUE,114
9dcbf929-cc2c-4c8d-abf6-662022cb63de,48,FALSE,0
b3bf0908-4130-41e6-9dbb-4e76ef1d49d7,99,TRUE,123
2d6c2d6f-cc08-4072-87e5-4809170011bd,96,TRUE,128
7755d001-8058-4b33-a8c6-5be8a30df536,84,FALSE,32
3031e69a-29a6-4758-8ec3-2796009b5bc5,2,FALSE,0
4dc67b0c-f8fb-4368-bf50-3cd709a735e8,91,TRUE,45
bec55ef8-3173-4567-9a63-7acc7d5d1bf6,95,TRUE,112
3d6124fc-332f-436d-acb3-e67b52e11d1e,95,TRUE,110
92fa5f3e-045b-459f-9f55-2744b2124dfa,84,TRUE,38
5e1f9853-55c9-4c7b-97dc-fe65387d0224,94,TRUE,124
d5e323ec-595c-414c-80d9-e05617e6c219,94,TRUE,122
0a868d56-7e76-48e2-bdcf-8fda9535b6dd,94,TRUE,94
2578383d-1cd3-480e-ae5c-921097b53b5d,75,FALSE,20
1118833d-b42d-4627-95c1-e000af6bf819,51,FALSE,0
7b199e8d-9b4e-4923-9e20-c0507844e340,35,FALSE,0
d355892b-a1e1-45ca-9303-20e7542f50e1,9,FALSE,0
bea2519b-339a-4b1e-980e-d9931f45feb8,89,TRUE,74
db74e5b8-54e7-475b-9af0-faf981801a97,2,FALSE,0
b45c5050-489e-466c-aeda-6a22fefb8152,97,TRUE,84
3a0b4b57-45c8-4068-8fd1-1b51b41e2ef4,98,TRUE,118
0a518ef7-f2d4-4471-bc95-9d8b9a3c4fbd,97,TRUE,125
fe6523c8-947a-4c11-8408-bd829f4f4cbf,98,TRUE,1
5b20db0f-5522-4c2e-991c-76ec25a1ab8a,96,TRUE,122
a0010193-e856-41c9-b2a6-f357bded3af0,95,TRUE,104
1a5b0562-8204-4535-93a1-83135ab9b789,95,TRUE,124
527d3f5c-d64a-45ce-b65d-7a4a77374973,94,TRUE,126
ef257da8-28bf-4df9-834b-be2fd4d700cf,94,TRUE,106
543dd422-a404-4eec-999a-91a73b27fb66,93,TRUE,123
71aaa854-bbc8-4ce3-b71e-d205287292aa,93,TRUE,74
a355cfaf-f16c-4cf5-aa91-2cc41c6ac912,41,FALSE,0
3a43ec9e-a14c-4adc-85de-03b7b0a7719f,10,FALSE,0
4cd4d412-adb7-4906-8d01-01c2f9cb80bc,51,FALSE,0
9c4e88e6-f868-4ec9-b750-f6f5f5649dc3,87,TRUE,12
ccc3effd-fcd3-4358-a948-1b3a9c0a43ea,93,TRUE,109
af8a46f6-4dc4-4ee5-843c-8a7f632eabe1,86,TRUE,61
ede68bcd-8d1b-4857-9373-3db67b715fb7,44,FALSE,0
aa0b55fe-54ce-418b-bb2d-b917f7e75609,94,TRUE,126
a0149caf-31e4-4cfe-9720-a1aa6933680b,94,TRUE,105
032e9b4d-6634-4958-b58a-221e785a6062,93,TRUE,24
c612c0da-9304-4e50-8881-ef4a393ebfcf,93,TRUE,107
3554cbe8-7bf5-4b83-892e-3a5105ca7a1e,88,TRUE,64
cbf8ffa6-066b-44de-a173-4d9959b460f4,85,TRUE,39
1e0c27e1-a801-4438-a860-23852cbd44e2,81,FALSE,25
9f2089ef-de43-41f3-992d-f12b29714475,42,FALSE,0
54e51fa5-8863-4032-8a44-8d51c75c328f,12,FALSE,0
25f8eba8-5ad4-4d8b-91eb-32b9344795e3,78,TRUE,29
c2be3a7e-6b1f-45fa-b4cb-07ab936818f5,97,TRUE,117
495dcb4f-547c-402a-a5d7-82386c5540c0,96,TRUE,125
58382a00-337d-4257-82dc-b171f92ccb29,96,TRUE,109
4b19ac9f-cb34-4e95-aeee-d01d440d9bd5,95,TRUE,113
6080c32a-8c8e-4466-9f7b-a3fbfa0d83e8,95,TRUE,109
c226fec3-905b-48ac-9a92-969afeac61a4,95,TRUE,66
6fea25e1-68d9-42df-88f0-a10cf08a2c51,94,TRUE,94
9af95bda-c6bf-4db7-9cd2-e76cd40078fd,94,TRUE,42
32c8cc96-b154-4868-9fed-ac02ab074c7f,94,TRUE,112
4e688c9f-d20d-47b2-bdef-cd3cdb7186a0,93,TRUE,103
fd7055bb-7d08-41ea-8899-957597cae93b,83,TRUE,53
8332a5e7-321d-4895-9a3d-0cdcda3e4afb,37,FALSE,0
aecdfb91-03cc-4701-8646-3a1dc05976c4,8,FALSE,0
85389d51-154a-4dd2-8541-01272bf319f6,86,TRUE,71
f835763f-a4d2-4870-a58d-6936ab9c5ef2,88,TRUE,57
1c51d2a9-df5e-4af3-95b9-a82aaa94ce37,86,FALSE,39
2787bb05-2a23-490c-96c3-b0af316a4ee8,82,TRUE,24
55939362-3e0b-46fb-a85a-cd64c391ed7b,92,TRUE,87
069abd6e-fb46-47b6-92a3-5e991aa1b3e0,59,FALSE,0
bfba6e82-13b4-4681-a81f-40a948f4cfa7,91,TRUE,100
3ca08b83-ca35-4b13-b3e5-52d6bebfee95,98,TRUE,125
7e128f56-6f5d-4f35-b637-c0d65c1492a2,98,TRUE,126
da5c2be8-6db0-4aa5-9de0-88512384f8b3,96,TRUE,103
b279e870-27c8-4ecd-9b08-b3fe3c01d5cb,89,TRUE,97
fc9ef06a-ede7-4ce4-8783-1ce0156a9bfb,94,TRUE,123
3d3ee56b-6749-4fbd-bcfa-8470cdce9aa3,93,TRUE,0
4869c3ec-925f-4ac9-9fab-3c5566e73d0c,34,FALSE,0
f0b043a7-2a3d-4d4a-b44d-bfef07558b78,92,TRUE,108
3922045b-6b7d-4acd-9116-371bff0ff3b5,92,TRUE,119
4d210a48-d518-40ca-8f6e-c488fb670d8e,97,TRUE,119
689b0185-612b-4427-b3b8-73eda46edd28,98,TRUE,130
09690ad3-86f0-4d43-b9ed-80636a75afb3,96,TRUE,65
d6cc1d9e-fe15-4500-8d99-30058b862160,96,TRUE,126
c53e970d-d320-4143-96cc-63a4e72d7330,96,TRUE,118
f21b50e9-53b8-4788-b743-4895cd146baf,95,TRUE,126
b230b0d5-317c-4b03-928a-25850c1a05a3,95,TRUE,122
5a190407-6c09-4126-a11f-500ffc4f013f,84,TRUE,67
3f17ff94-9a63-442c-8cd0-3741f257d1d4,91,TRUE,86
293279c1-d52b-44cc-a37e-0ad7d1356008,91,TRUE,105
92ad60a1-2eff-464d-93d1-b2e477817b8a,2,FALSE,0
640a5d4f-975b-4082-9a5e-a1293876989a,80,TRUE,69
3521f87f-f809-4742-ba30-04d2c2e0fa12,90,TRUE,100
424c68e2-d487-4c39-b254-53ecf4590dbd,94,TRUE,110
72617ee9-d21e-45b7-a75d-a64ee89e8f4d,93,TRUE,112
0b815ef2-10ad-497d-b22d-b0d4f9e01402,93,TRUE,108
e83de639-b371-4024-91b9-17a66c495dd1,90,TRUE,101
cba551ed-6db1-4aff-bd28-3aa7a6ce710b,90,FALSE,10
825d4238-7aa2-4a29-952b-93d9eb0e6574,89,TRUE,102
4d99d925-b00c-40a1-9a79-d7c9282d81b7,80,TRUE,31
09ad24a9-572c-4103-b290-7eca8f667e68,5,FALSE,0
683e71ec-88e5-42b2-b64b-99d1e6c145b7,94,TRUE,117
e14a91f7-59ea-43a6-beff-ffa8f34e81db,94,TRUE,83
844668db-f74e-4f32-8ec0-1eefe76e7d57,97,TRUE,114
7e67b10f-a1ac-478b-82a6-c2cf6f05a693,96,TRUE,102
1a3ecc18-3f37-490e-93d2-84388bd02784,96,TRUE,86
70bdbfd2-a64e-45ee-9247-8897bf65886b,95,TRUE,108
db0cda34-3073-420d-a9a2-36410a62936f,94,TRUE,98
5f5ab3f4-2465-4791-a34f-754f5507e72f,94,TRUE,109
e1fa9638-9720-4346-9322-d955c4ed7bf8,93,TRUE,69
cb5cc2f6-2fcb-40e4-8ea9-41ea693de9eb,94,TRUE,121
3014bfef-04e9-44ba-9b80-6f0f370393fb,94,TRUE,110
98f26e7b-0c78-4297-9fa3-7202f1356b8c,94,TRUE,122
7ac03e15-3c13-477e-a6de-b0799051ada6,93,TRUE,121
9e62dc89-4fb0-4d65-aaa5-a31eaa3bb62c,88,TRUE,100
fc29f5ff-bbfa-4c39-8261-247784d11921,78,FALSE,34
df34f4df-2cb8-4488-8bf0-9dba885b7bb5,1,FALSE,0
8a462f99-31ef-4766-bf7e-6833eb62b5ff,87,FALSE,54
64f5f056-fe23-45b7-ab5d-50a623323366,93,TRUE,98
78598e80-f4ff-4cad-ab0f-a5f2053e8821,93,TRUE,111
7dd83c21-4d4c-4369-aae1-ff4738c73047,92,TRUE,115
4efcc385-310a-4b2b-90fa-eb7b53962a04,93,TRUE,94
90e0b481-f1af-48bb-89b9-b1f7a72b01b9,91,TRUE,95
dcd3ee76-5aa4-463b-a2ad-4e84c7eeea9a,91,TRUE,91
1dac2376-fa59-4743-932c-6f414c8e9973,97,TRUE,123
15409305-5e56-44c5-a4a1-9b41e7617de9,98,TRUE,132
4b65d37f-0a37-4cfd-9f83-c54e828a7f93,96,TRUE,126
d299896b-516b-48ca-b43f-f5784de9ba8b,95,TRUE,125
2495df78-b298-4815-9025-ad8ab42b1cdc,94,TRUE,98
80a085af-e958-4851-84a4-9d62a49360d6,94,TRUE,109
a705e20a-f8f6-448a-8996-aa1a9f14ef61,93,TRUE,118
29533c08-0aba-45ae-be15-4024f0c9c44e,92,TRUE,116
8b55eb2b-5ac8-4e3d-a84f-6827c63303b3,89,TRUE,51
19b6e13a-cd06-43fe-aae8-5b4c8a325a77,88,FALSE,79
e6fc3325-7b3f-443b-871a-5d887b054c27,90,TRUE,30
a78e86b0-85d8-4cdf-8d37-dc5e2dc9aaa4,99,TRUE,119
b6fc6466-10c5-4bd1-be97-91d90eed5ac2,97,TRUE,127
423ea6a9-7100-4ee4-a345-59ca4da7b508,95,TRUE,123
31235cc9-1268-491f-a44a-fb59c0314db4,94,TRUE,122
176e16ec-254e-4dba-92ce-1e7ded3b39ae,94,TRUE,120
a87ad04b-6250-40c9-859c-00c9ed62106f,93,TRUE,100
995839da-e556-4961-8e92-d5dd4e1868e5,93,TRUE,118
a92fe841-ad21-49df-aa84-55f34c70d51d,92,TRUE,101
832d66fc-c474-4a62-a239-52497a47a6f1,90,TRUE,76
8cbc384d-0134-4e5f-a7e8-b9b8e198b159,89,TRUE,100
4873aa75-89dc-4c62-968b-669b1354350e,87,TRUE,56
8c63a18f-f78c-4b15-bca6-e38e75662fee,99,TRUE,81
21fbc12f-d9cc-4fc6-b843-7e0d406272f6,96,TRUE,108
c54cad86-e35b-4d37-a061-1da0abca4472,96,TRUE,111
8e12ab82-4b71-4291-a82f-159d21ef2732,96,TRUE,124
b7f33779-3d80-4140-bbb8-a295ef20be77,95,TRUE,130
7e0f3dc2-9707-48e3-a317-a675224ee04d,96,TRUE,125
3bd4a66b-1a41-4f37-abe0-2d4d15d5ce0c,95,TRUE,125
bb9d18a7-5c27-45d3-bf05-2d41ba541a6f,95,TRUE,127
ac61e921-91aa-4c32-982a-0bea7504290a,95,TRUE,82
cb1da005-4852-466c-84b9-2c9d313b4549,95,TRUE,81
007f7a26-a355-40f2-ac61-8a7a7ef16e8f,93,TRUE,116
209ae705-4014-42f9-9e95-90fd5852e429,93,TRUE,59
ec1a5975-a362-40ce-bf60-485422ae9676,93,TRUE,127
53c05e64-8f25-406b-adb1-ea74ef1ac973,93,TRUE,51
2f2769da-1359-4aa3-9012-5133d9e30caa,93,TRUE,0
accfe411-3114-42e8-aed1-8afd21d2cc44,93,TRUE,123
13c70c1f-41ab-4889-8f69-80205a968558,99,TRUE,121
1d8efb12-e3b9-4b29-9ee3-f61c18d129cb,95,TRUE,38
47e125f4-4f7b-429b-8404-6a796c395ff1,95,TRUE,112
bbbdeb02-e48e-4b1f-9b21-fc8141dc6285,95,TRUE,130
6d0fc0e2-c71f-46fb-a6df-3a8a08f9edca,94,TRUE,126
91adb0fe-1965-4cb7-ac50-a243a57aea4f,87,FALSE,55
d658eaa0-54e5-4ff4-97de-acb7e0bef2bd,76,FALSE,9
98ea3b7a-4db4-443e-b4ef-e2692e7fcebc,92,TRUE,104
527bf83d-0b5d-442e-a724-09c26eeabbdc,93,TRUE,111
317d5e8d-6953-4c9e-8856-97f892f79ec3,90,TRUE,55
60db77aa-9452-49d6-8b41-3d63272552c1,87,TRUE,94
3897f191-52f0-4f2f-a1e8-3536b8090036,78,FALSE,22
5ca86a8a-c368-45c7-90eb-b0f497e00ebb,75,FALSE,17
ed76bb06-194a-4c6c-8ca6-0fc5622d1ede,96,TRUE,127
dca07a20-9016-4a91-be58-3bc8d08af7e6,95,TRUE,107
e356514f-2df8-4f45-974b-c606cf00c225,93,TRUE,124
3e2a3b02-eb02-49d2-a674-db919120b11d,93,TRUE,112
f7bb1ef0-1736-4555-a34f-255249a33049,91,TRUE,94
e874ed25-1d8a-4921-916e-d94ce6e5b8f8,90,TRUE,109
0ad5cce3-5590-49d9-bbcc-60b3fc46003c,90,TRUE,79
ff4aa413-d1ff-4af6-8e32-f06ecf68620a,93,TRUE,105
78f1df41-f5b0-4487-93b0-8e447a3cd44a,93,TRUE,105
19d7045b-20bb-41d9-9ffd-a1995dd0d414,93,TRUE,93
6a972a5d-f0e0-4936-9489-81a205193945,92,TRUE,123
f62c9048-7e8f-45c8-b975-d3cf8fe22e2f,91,TRUE,60
75c33e7a-fdd9-496a-9b12-b92b402b179c,91,TRUE,72
82c787c1-303d-4299-a7a0-c4d40229212a,88,TRUE,0
815fca67-0c35-4120-a9fe-4a8060a836c8,88,TRUE,63
09e1664d-4e76-45c5-8cb7-e61328788a51,84,FALSE,51
491978db-d9ba-418b-8362-4d39030e92b4,77,FALSE,21
4e4d3af6-cb46-4c4c-b353-c0598b267740,70,TRUE,8
c0b54e01-7810-4cf6-989c-dff24252c938,49,FALSE,0
71df6f95-72f2-4f7b-b9d0-98ab28e6819c,90,TRUE,104
eb6439e2-8fc7-4d0c-bf4a-a51a2cdc2bfa,86,FALSE,40
ed8a53c9-55d7-4217-9fa3-09cda9743fd5,96,TRUE,129
ecf8193a-d328-4a4d-a1e4-7ff7b0c351f1,94,TRUE,60
de0bf8de-39e8-4e6e-bd15-84918364b514,94,TRUE,109
f65d4531-c7d9-4874-8ce7-48b9125168e2,94,TRUE,130
c53c5470-47ca-4328-953a-7cb218e0c5d8,94,TRUE,112
8588661a-f567-43fa-ae1e-7b74ca86b715,93,TRUE,91
41a75137-9adf-41d1-aa57-0ea7999bb2bb,93,TRUE,120
26f6db29-646a-472f-9522-51263fd808c5,93,TRUE,68
006a4e2a-1fc9-44f9-bd23-bbdfdeec344a,93,TRUE,109
c28fdaad-2dde-4630-a866-acd319ed59ea,93,TRUE,90
e5440ed1-d0e9-4ba9-899d-df4198423f77,81,TRUE,21
162c195f-1d02-4226-bd68-42deca84f3a6,89,TRUE,19
ed405b5e-00b1-485f-8746-a886b200f07a,92,TRUE,98
2f396371-9be9-482e-9ed1-2217f26c5527,100,TRUE,127
f891dd8a-74e8-4f95-9a0b-23499432383c,95,TRUE,129
ca3649ce-9fd6-4fca-811e-cc8bc9d67188,95,TRUE,121
387d565c-5697-4f9b-a901-0e389dae319f,94,TRUE,114
6943a464-b42f-44f0-bba6-73f8528143a4,92,TRUE,100
551eda0c-6685-4e34-a849-3e8a54866381,92,TRUE,98
d48d7521-b888-4b61-bc72-346dd980593e,74,TRUE,0
8f9bafd5-7828-498d-8d2e-9d0e81a0ee29,91,FALSE,31
